"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	Count
	"Alabama"	"01"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	331
	"Alabama"	"01"	"2010"	"2010"	"Breast"	"26000"	3455
	"Alabama"	"01"	"2010"	"2010"	"Cervix Uteri"	"27010"	200
	"Alabama"	"01"	"2010"	"2010"	"Colon and Rectum"	"21041-21052"	2378
	"Alabama"	"01"	"2010"	"2010"	"Corpus Uteri"	"27020"	552
	"Alabama"	"01"	"2010"	"2010"	"Esophagus"	"21010"	265
	"Alabama"	"01"	"2010"	"2010"	"Gallbladder"	"21080"	40
	"Alabama"	"01"	"2010"	"2010"	"Kidney and Renal Pelvis"	"29020"	886
	"Alabama"	"01"	"2010"	"2010"	"Larynx"	"22020"	278
	"Alabama"	"01"	"2010"	"2010"	"Leukemias"	"35011-35043"	610
	"Alabama"	"01"	"2010"	"2010"	"Liver"	"21071"	317
	"Alabama"	"01"	"2010"	"2010"	"Lung and Bronchus"	"22030"	4038
	"Alabama"	"01"	"2010"	"2010"	"Melanoma of the Skin"	"25010"	1134
	"Alabama"	"01"	"2010"	"2010"	"Myeloma"	"34000"	382
	"Alabama"	"01"	"2010"	"2010"	"Non-Hodgkin Lymphoma"	"33041-33042"	922
	"Alabama"	"01"	"2010"	"2010"	"Oral Cavity and Pharynx"	"20010-20100"	729
	"Alabama"	"01"	"2010"	"2010"	"Ovary"	"27040"	345
	"Alabama"	"01"	"2010"	"2010"	"Pancreas"	"21100"	676
	"Alabama"	"01"	"2010"	"2010"	"Prostate"	"28010"	3864
	"Alabama"	"01"	"2010"	"2010"	"Stomach"	"21020"	341
	"Alabama"	"01"	"2010"	"2010"	"Thyroid"	"32010"	446
	"Alabama"	"01"	"2010"	"2010"	"Urinary Bladder, invasive and in situ"	"29010"	1038
	"Alabama"	"01"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	330
	"Alabama"	"01"	"2011"	"2011"	"Breast"	"26000"	3485
	"Alabama"	"01"	"2011"	"2011"	"Cervix Uteri"	"27010"	207
	"Alabama"	"01"	"2011"	"2011"	"Colon and Rectum"	"21041-21052"	2311
	"Alabama"	"01"	"2011"	"2011"	"Corpus Uteri"	"27020"	531
	"Alabama"	"01"	"2011"	"2011"	"Esophagus"	"21010"	278
	"Alabama"	"01"	"2011"	"2011"	"Gallbladder"	"21080"	44
	"Alabama"	"01"	"2011"	"2011"	"Kidney and Renal Pelvis"	"29020"	867
	"Alabama"	"01"	"2011"	"2011"	"Larynx"	"22020"	307
	"Alabama"	"01"	"2011"	"2011"	"Leukemias"	"35011-35043"	659
	"Alabama"	"01"	"2011"	"2011"	"Liver"	"21071"	355
	"Alabama"	"01"	"2011"	"2011"	"Lung and Bronchus"	"22030"	4018
	"Alabama"	"01"	"2011"	"2011"	"Melanoma of the Skin"	"25010"	1103
	"Alabama"	"01"	"2011"	"2011"	"Myeloma"	"34000"	333
	"Alabama"	"01"	"2011"	"2011"	"Non-Hodgkin Lymphoma"	"33041-33042"	871
	"Alabama"	"01"	"2011"	"2011"	"Oral Cavity and Pharynx"	"20010-20100"	691
	"Alabama"	"01"	"2011"	"2011"	"Ovary"	"27040"	333
